id,round,beginnScore,score,darts,dartsOnDouble,checkout,entityId,created_at
1,1,501,41,3,0,0,1,2022-11-10 19:40:41
2,2,460,24,3,0,0,1,2022-11-10 19:40:41
3,3,436,41,3,0,0,1,2022-11-10 19:40:41
4,4,395,25,3,0,0,1,2022-11-10 19:40:41
5,5,370,25,3,0,0,1,2022-11-10 19:40:41
6,6,345,57,3,0,0,1,2022-11-10 19:40:41
7,7,288,60,3,0,0,1,2022-11-10 19:40:41
8,8,228,30,3,0,0,1,2022-11-10 19:40:41
9,9,198,26,3,0,0,1,2022-11-10 19:40:41
10,10,172,45,3,0,0,1,2022-11-10 19:40:41
11,11,127,42,3,0,0,1,2022-11-10 19:40:41
12,12,85,35,3,0,0,1,2022-11-10 19:40:41
13,13,50,20,3,1,0,1,2022-11-10 19:40:41
14,14,30,18,3,2,0,1,2022-11-10 19:40:41
15,15,12,0,3,2,0,1,2022-11-10 19:40:41
16,16,12,0,3,3,0,1,2022-11-10 19:40:41
17,17,12,0,3,1,0,1,2022-11-10 19:40:41
18,18,12,12,2,2,1,1,2022-11-10 19:40:41
19,1,501,20,3,0,0,2,2022-11-10 19:43:55
20,2,481,11,3,0,0,2,2022-11-10 19:43:55
21,3,470,12,3,0,0,2,2022-11-10 19:43:55
22,4,458,30,3,0,0,2,2022-11-10 19:43:55
23,5,428,18,3,0,0,2,2022-11-10 19:43:55
24,6,410,22,3,0,0,2,2022-11-10 19:43:55
25,7,388,37,3,0,0,2,2022-11-10 19:43:55
26,8,351,55,3,0,0,2,2022-11-10 19:43:55
27,9,296,74,3,0,0,2,2022-11-10 19:43:55
28,10,222,98,3,0,0,2,2022-11-10 19:43:55
29,11,124,32,3,0,0,2,2022-11-10 19:43:55
30,12,92,92,3,1,1,2,2022-11-10 19:43:55
31,1,501,11,3,0,0,3,2022-11-10 19:49:15
32,2,490,25,3,0,0,3,2022-11-10 19:49:15
33,3,465,74,3,0,0,3,2022-11-10 19:49:15
34,4,391,44,3,0,0,3,2022-11-10 19:49:15
35,5,347,26,3,0,0,3,2022-11-10 19:49:15
36,6,321,71,3,0,0,3,2022-11-10 19:49:15
37,7,250,26,3,0,0,3,2022-11-10 19:49:15
38,8,224,41,3,0,0,3,2022-11-10 19:49:15
39,9,183,20,3,0,0,3,2022-11-10 19:49:15
40,10,163,40,3,0,0,3,2022-11-10 19:49:15
41,11,123,19,3,0,0,3,2022-11-10 19:49:15
42,12,104,67,3,0,0,3,2022-11-10 19:49:15
43,13,37,21,3,1,0,3,2022-11-10 19:49:15
44,14,16,0,3,3,0,3,2022-11-10 19:49:15
45,15,16,14,3,2,0,3,2022-11-10 19:49:15
46,16,2,0,3,3,0,3,2022-11-10 19:49:15
47,17,2,0,3,1,0,3,2022-11-10 19:49:15
48,18,2,0,3,1,0,3,2022-11-10 19:49:15
49,19,2,0,3,1,0,3,2022-11-10 19:49:15
50,20,2,0,3,3,0,3,2022-11-10 19:49:15
51,21,2,0,3,3,0,3,2022-11-10 19:49:15
52,22,2,2,1,1,1,3,2022-11-10 19:49:15
53,1,501,45,3,0,0,4,2022-11-10 19:53:10
54,2,456,41,3,0,0,4,2022-11-10 19:53:10
55,3,415,9,3,0,0,4,2022-11-10 19:53:10
56,4,406,26,3,0,0,4,2022-11-10 19:53:10
57,5,380,62,3,0,0,4,2022-11-10 19:53:10
58,6,318,62,3,0,0,4,2022-11-10 19:53:10
59,7,256,52,3,0,0,4,2022-11-10 19:53:10
60,8,204,11,3,0,0,4,2022-11-10 19:53:10
61,9,193,33,3,0,0,4,2022-11-10 19:53:10
62,10,160,82,3,0,0,4,2022-11-10 19:53:10
63,11,78,17,3,0,0,4,2022-11-10 19:53:10
64,12,61,12,3,0,0,4,2022-11-10 19:53:10
65,13,49,0,3,0,0,4,2022-11-10 19:53:10
66,14,49,49,3,2,1,4,2022-11-10 19:53:10
67,1,501,21,3,0,0,5,2022-11-10 19:56:35
68,2,480,39,3,0,0,5,2022-11-10 19:56:35
69,3,441,8,3,0,0,5,2022-11-10 19:56:35
70,4,433,66,3,0,0,5,2022-11-10 19:56:35
71,5,367,57,3,0,0,5,2022-11-10 19:56:35
72,6,310,56,3,0,0,5,2022-11-10 19:56:35
73,7,254,28,3,0,0,5,2022-11-10 19:56:35
74,8,226,22,3,0,0,5,2022-11-10 19:56:35
75,9,204,30,3,0,0,5,2022-11-10 19:56:35
76,10,174,24,3,0,0,5,2022-11-10 19:56:35
77,11,150,41,3,0,0,5,2022-11-10 19:56:35
78,12,109,77,3,0,0,5,2022-11-10 19:56:35
79,13,32,32,3,3,1,5,2022-11-10 19:56:35
80,1,501,33,3,0,0,6,2022-11-11 12:52:54
81,2,468,25,3,0,0,6,2022-11-11 12:52:54
82,3,443,61,3,0,0,6,2022-11-11 12:52:54
83,4,382,26,3,0,0,6,2022-11-11 12:52:54
84,5,356,44,3,0,0,6,2022-11-11 12:52:54
